0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s] (normalized)
146,24.6,0.018145843492966218
147,24.7,0.018292905820539152
148,24.8,0.018441641366476233
149,24.9,0.018592078908488883
150,25.0,0.01874422666878036
151,25.1,0.01887037171125067
152,25.2,0.018997840528446424
153,25.3,0.01912664134257088
154,25.4,0.01925679059803057
155,25.5,0.019388300628130385
156,25.6,0.019521183766175225
157,25.7,0.019655452345469983
158,25.8,0.01979111458821792
159,25.9,0.01992818693882557
160,26.0,0.020066685841699457
161,26.1,0.02017327026260564
162,26.2,0.020272598589131684
163,26.3,0.02037288480233794
164,26.4,0.020474124791122775
165,26.5,0.020576330888791083
166,26.6,0.020679507206444497
167,26.7,0.02078365785518465
168,26.8,0.02088879516831644
169,26.9,0.020994919145839855
170,27.0,0.021102038009958173
171,27.1,0.021180531273414228
172,27.2,0.021259760424062378
173,27.3,0.021339733684105886
174,27.4,0.021420446942443116
175,27.5,0.021501908421277336
176,27.6,0.021584122231710176
177,27.7,0.021667084262640007
178,27.8,0.021750802736270086
179,27.9,0.02183528176370205
180,28.0,0.021929002547602317
181,28.1,0.02198457641946106
182,28.2,0.02204072173444662
183,28.3,0.022097438492559008
184,28.4,0.022154730804899842
185,28.5,0.02221259044926587
186,28.6,0.02227102564786035
187,28.7,0.02233003228958165
188,28.8,0.022389618596633035
189,28.9,0.02244977634681124
190,29.0,0.02251051376231953
191,29.1,0.0225422432447138
192,29.2,0.022574429059389205
193,29.3,0.022607058873040844
194,29.4,0.02264014501897361
195,29.5,0.022673675163882613
196,29.6,0.022707653418869482
197,29.7,0.02274207978393422
198,29.8,0.022776950147975192
199,29.9,0.02281226862209403
200,30.0,0.022848031095189104
201,30.1,0.022875119143841067
202,30.2,0.022894215210920804
203,30.3,0.022913714165960455
204,30.4,0.02293361189785839
205,30.5,0.022953908406614616
206,30.6,0.02297459547002586
207,30.7,0.022995681310295387
208,30.8,0.02301716181632157
209,30.9,0.02303902876590114
210,31.0,0.023061290381237366
211,31.1,0.023068875363748048
212,31.2,0.02307683034540559
213,31.3,0.0230851429929051
214,31.4,0.02309382152844984
215,31.5,0.02310285772983655
216,31.6,0.023112251597065224
217,31.7,0.023121999019034233
218,31.8,0.02313209999574358
219,31.9,0.02314255452719326
220,32.0,0.023153358502281646
221,32.1,0.023155179720304533
222,32.2,0.02314922684514168
223,32.3,0.023143615191414266
224,32.4,0.02313834475912229
225,32.5,0.023133411437164124
226,32.6,0.023128815225539768
227,32.7,0.023124552013147587
228,32.8,0.02312062179998758
229,32.9,0.023117016363856487
230,33.0,0.023113739815855936
231,33.1,0.02309776407491474
