,photon energy in keV,photon flux in 1/cm2/s/keV/mA at 1 m
454,55.4,3180334.0
455,55.5,3169556.0
456,55.6,3158829.0
457,55.7,3148154.0
458,55.8,3137529.0
459,55.9,3126956.0
460,56.0,3117294.0
461,56.1,3106543.0
462,56.2,3095843.0
463,56.3,3085195.0
464,56.4,3074597.0
465,56.5,3064049.0
466,56.6,3053552.0
467,56.7,3043104.0
468,56.8,3032706.0
469,56.9,3022357.0
470,57.0,3012056.0
471,57.1,3001768.0
472,57.2,2991529.0
473,57.3,2981337.0
474,57.4,2971193.0
475,57.5,2961097.0
476,57.6,2951047.0
477,57.7,2941045.0
478,57.8,2931089.0
479,57.9,2921179.0
480,58.0,41048830.0
481,58.1,2901901.0
482,58.2,2891724.0
483,58.3,2881596.0
484,58.4,2871514.0
485,58.5,2861480.0
486,58.6,2851492.0
487,58.7,2841551.0
488,58.8,2831656.0
489,58.9,2821807.0
490,59.0,2812003.0
491,59.1,2802093.0
492,59.2,2792229.0
493,59.3,69232730.0
494,59.4,2772638.0
495,59.5,2762910.0
496,59.6,2753227.0
497,59.7,2743589.0
498,59.8,2733995.0
499,59.9,2724445.0
500,60.0,2714938.0
501,60.1,2705950.0
502,60.2,2696249.0
503,60.3,2686592.0
504,60.4,2676979.0
505,60.5,2667410.0
506,60.6,2657886.0
507,60.7,2648405.0
508,60.8,2638967.0
509,60.9,2629572.0
510,61.0,2620220.0
511,61.1,2610911.0
512,61.2,2601643.0
513,61.3,2592418.0
514,61.4,2583234.0
515,61.5,2574092.0
516,61.6,2564991.0
517,61.7,2555931.0
518,61.8,2546912.0
519,61.9,2537932.0
520,62.0,2528994.0
521,62.1,2520426.0
522,62.2,2511182.0
523,62.3,2501980.0
524,62.4,2492820.0
525,62.5,2483701.0
526,62.6,2474623.0
527,62.7,2465587.0
528,62.8,2456590.0
529,62.9,2447635.0
530,63.0,2438719.0
531,63.1,2429945.0
532,63.2,2421210.0
533,63.3,2412514.0
534,63.4,2403856.0
535,63.5,2395236.0
536,63.6,2386654.0
537,63.7,2378110.0
538,63.8,2369604.0
539,63.9,2361135.0
540,64.0,2352702.0
541,64.1,2344500.0
542,64.2,2335659.0
543,64.3,2326858.0
544,64.4,2318096.0
545,64.5,2309373.0
546,64.6,2300689.0
547,64.7,2292044.0
548,64.8,2283438.0
549,64.9,2274869.0
550,65.0,2266339.0
551,65.1,2257996.0
552,65.2,2249688.0
553,65.3,2241418.0
554,65.4,2233183.0
555,65.5,2224984.0
556,65.6,2216820.0
557,65.7,2208692.0
558,65.8,2200599.0
559,65.9,2192540.0
560,66.0,2184517.0
561,66.1,2176790.0
562,66.2,2168458.0
563,66.3,2160162.0
564,66.4,2151903.0
565,66.5,2143680.0
566,66.6,2135493.0
567,66.7,2127341.0
568,66.8,2119225.0
569,66.9,2111144.0
570,67.0,2103099.0
571,67.1,2095076.0
572,67.2,23921730.0
573,67.3,2079136.0
574,67.4,2071218.0
575,67.5,2063334.0
576,67.6,2055483.0
577,67.7,2047667.0
578,67.8,2039884.0
579,67.9,2032135.0
580,68.0,2024418.0
581,68.1,2017128.0
582,68.2,2009263.0
583,68.3,2001432.0
584,68.4,1993634.0
585,68.5,1985870.0
586,68.6,1978139.0
587,68.7,1970441.0
588,68.8,1962776.0
589,68.9,1955143.0
590,69.0,1947544.0
591,69.1,7626625.0
592,69.2,1932318.0
593,69.3,1924753.0
594,69.4,1917222.0
595,69.5,1909722.0
596,69.6,1818893.0
597,69.7,1812280.0
598,69.8,1805692.0
599,69.9,1799131.0
600,70.0,1792595.0
601,70.1,1786254.0
602,70.2,1779400.0
603,70.3,1772574.0
604,70.4,1765774.0
605,70.5,1759002.0
606,70.6,1752257.0
607,70.7,1745539.0
608,70.8,1738848.0
609,70.9,1732183.0
610,71.0,1725545.0
611,71.1,1718939.0
612,71.2,1712360.0
613,71.3,1705806.0
614,71.4,1699279.0
615,71.5,1692778.0
616,71.6,1686302.0
617,71.7,1679852.0
618,71.8,1673428.0
619,71.9,1667029.0
620,72.0,1660655.0
621,72.1,1654614.0
622,72.2,1648079.0
623,72.3,1641570.0
624,72.4,1635086.0
625,72.5,1628627.0
626,72.6,1622193.0
627,72.7,1615785.0
628,72.8,1609401.0
629,72.9,1603043.0
630,73.0,1596708.0
631,73.1,1590344.0
632,73.2,1584005.0
633,73.3,1577690.0
634,73.4,1571401.0
635,73.5,1565135.0
636,73.6,1558895.0
637,73.7,1552678.0
638,73.8,1546486.0
639,73.9,1540318.0
640,74.0,1534675.0
641,74.1,1528328.0
642,74.2,1522006.0
643,74.3,1515708.0
644,74.4,1509435.0
645,74.5,1503187.0
