0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s]
358,45.8,1725959200.0
359,45.9,1721033200.0
360,46.0,1716134000.0
361,46.1,1711423600.0
362,46.2,1706250800.0
363,46.3,1701106000.0
364,46.4,1695988800.0
365,46.5,1690899600.0
366,46.6,1685837600.0
367,46.7,1680802800.0
368,46.8,1675794800.0
369,46.9,1670814000.0
370,47.0,1665859600.0
371,47.1,1660700400.0
372,47.2,1655568800.0
373,47.3,1650464400.0
374,47.4,1645387600.0
375,47.5,1640337200.0
376,47.6,1635314000.0
377,47.7,1630317200.0
378,47.8,1625346800.0
379,47.9,1620402400.0
380,48.0,1615484000.0
381,48.1,1610908400.0
382,48.2,1605902400.0
383,48.3,1600922800.0
384,48.4,1595969200.0
385,48.5,1591041600.0
386,48.6,1586139600.0
387,48.7,1581262800.0
388,48.8,1576411600.0
389,48.9,1571585200.0
390,49.0,1566784000.0
391,49.1,1561809200.0
392,49.2,1556860400.0
393,49.3,1551936800.0
394,49.4,1547038800.0
395,49.5,1542166000.0
396,49.6,1537318400.0
397,49.7,1532495600.0
398,49.8,1527697200.0
399,49.9,1522923600.0
400,50.0,1518174000.0
401,50.1,1513665600.0
402,50.2,1508758000.0
403,50.3,1503875200.0
404,50.4,1499018000.0
405,50.5,1494185200.0
406,50.6,1489376800.0
407,50.7,1484593200.0
408,50.8,1479833600.0
409,50.9,1475098000.0
410,51.0,1470386000.0
411,51.1,1465583200.0
412,51.2,1460804400.0
413,51.3,1456049600.0
414,51.4,1451318800.0
415,51.5,1446611600.0
416,51.6,1441928400.0
417,51.7,1437268400.0
418,51.8,1432631600.0
419,51.9,1428017600.0
420,52.0,1423426800.0
421,52.1,1419128400.0
422,52.2,1414458400.0
423,52.3,1409811200.0
424,52.4,1405187200.0
425,52.5,1400586400.0
426,52.6,1396008000.0
427,52.7,1391452400.0
428,52.8,1386919200.0
429,52.9,1382408400.0
430,53.0,1377919600.0
431,53.1,1373378000.0
432,53.2,1368859200.0
433,53.3,1364362400.0
434,53.4,1359887600.0
435,53.5,1355434400.0
436,53.6,1351003200.0
437,53.7,1346593600.0
438,53.8,1342205200.0
439,53.9,1337838000.0
440,54.0,1333492000.0
441,54.1,1329336800.0
442,54.2,1324833600.0
443,54.3,1320352800.0
444,54.4,1315893600.0
445,54.5,1311456400.0
446,54.6,1307040400.0
447,54.7,1302645600.0
448,54.8,1298272400.0
449,54.9,1293920000.0
450,55.0,1289588800.0
451,55.1,1285193200.0
452,55.2,1280819200.0
453,55.3,1276466000.0
454,55.4,1272133600.0
455,55.5,1267822400.0
456,55.6,1263531600.0
457,55.7,1259261600.0
458,55.8,1255011600.0
459,55.9,1250782400.0
460,56.0,1246917600.0
461,56.1,1242617200.0
462,56.2,1238337200.0
463,56.3,1234078000.0
464,56.4,1229838800.0
465,56.5,1225619600.0
466,56.6,1221420800.0
467,56.7,1217241600.0
468,56.8,1213082400.0
469,56.9,1208942800.0
470,57.0,1204822400.0
